"species","year","longitude","latitude","utm_x","utm_y"
"Puma concolor",2007,-104.336,19.6485999999991,2255795.9476936,851884.240282243
"Puma concolor",2007,-104.246,19.5640999999991,2265057.6854791,842410.255811272
"Puma concolor",2007,-104.246,19.5640999999991,2265057.6854791,842410.255811272
"Puma concolor",2007,-104.37,19.6185999999991,2252187.22583506,848632.510212132
"Puma concolor",2008,-100.094,21.4544999999991,2696608.88050755,1050322.5287622
"Puma concolor",2007,-96.7695,17.5636999999991,3055095.96620637,629650.897464092
"Puma concolor",2007,-96.7518,17.5963999999991,3056841.18631602,633335.674049423
"Puma concolor",2009,-89.923,18.341899999999,3773223.7075644,759231.054524608
"Puma concolor",2009,-89.3278,18.3692999999991,3835546.19612784,767661.502031773
"Puma concolor",2009,-89.2626,18.4003999999991,3842094.8468113,771693.889517937
"Puma concolor",2009,-89.2626,18.4003999999991,3842094.8468113,771693.889517937
"Puma concolor",2009,-89.2961,18.4179999999991,3838402.24876348,773318.301118855
"Puma concolor",2008,-87.551,21.3572999999991,3989053.14486078,1113376.97493384
"Puma concolor",2008,-87.628,21.3588999999991,3981126.86106326,1112755.07769546
"Puma concolor",2008,-87.551,21.3572999999991,3989053.14486078,1113376.97493384
"Puma concolor",2008,-87.551,21.3572999999991,3989053.14486078,1113376.97493384
"Puma concolor",2008,-87.628,21.3588999999991,3981126.86106326,1112755.07769546
"Puma concolor",2008,-87.628,21.3588999999991,3981126.86106326,1112755.07769546
"Puma concolor",2008,-87.628,21.3588999999991,3981126.86106326,1112755.07769546
"Puma concolor",2008,-87.628,21.3588999999991,3981126.86106326,1112755.07769546
"Puma concolor",2008,-87.628,21.3588999999991,3981126.86106326,1112755.07769546
"Puma concolor",2008,-87.628,21.3588999999991,3981126.86106326,1112755.07769546
"Puma concolor",2008,-87.628,21.3588999999991,3981126.86106326,1112755.07769546
"Puma concolor",2008,-87.628,21.3588999999991,3981126.86106326,1112755.07769546
"Puma concolor",2008,-87.6169,21.3592999999991,3982262.53808197,1112913.61175383
"Puma concolor",2008,-87.6169,21.3592999999991,3982262.53808197,1112913.61175383
"Puma concolor",2008,-87.6169,21.3592999999991,3982262.53808197,1112913.61175383
"Puma concolor",2008,-87.6275,21.3423999999992,3981360.12638664,1110951.09096895
"Puma concolor",2008,-87.6275,21.3423999999992,3981360.12638664,1110951.09096895
"Puma concolor",2008,-87.6113,21.3355999999991,3983099.29611186,1110372.92695063
"Puma concolor",2008,-87.6023,21.3677999999991,3983668.22399066,1113996.54490007
"Puma concolor",2008,-87.6023,21.3677999999991,3983668.22399066,1113996.54490007
"Puma concolor",2008,-87.6023,21.3677999999991,3983668.22399066,1113996.54490007
"Puma concolor",2008,-87.6023,21.3677999999991,3983668.22399066,1113996.54490007
"Puma concolor",2008,-87.6015,21.3514999999992,3983930.41389802,1112217.64104189
"Puma concolor",2008,-87.6015,21.3514999999992,3983930.41389802,1112217.64104189
"Puma concolor",2008,-87.6015,21.3514999999992,3983930.41389802,1112217.64104189
"Puma concolor",2008,-87.6015,21.3514999999992,3983930.41389802,1112217.64104189
"Puma concolor",2008,-87.5871,21.3485999999992,3985441.56362298,1112048.74594677
"Puma concolor",2008,-87.5871,21.3485999999992,3985441.56362298,1112048.74594677
"Puma concolor",2008,-87.5959,21.3307999999991,3984734.33188317,1110005.97142551
"Puma concolor",2008,-87.5598,21.3782999999992,3987916.71523738,1115588.06097436
"Puma concolor",2008,-87.5598,21.3782999999992,3987916.71523738,1115588.06097436
"Puma concolor",2008,-87.5598,21.3782999999992,3987916.71523738,1115588.06097436
"Puma concolor",2008,-87.5602,21.3573999999992,3988107.13078656,1113292.45024636
"Puma concolor",2008,-87.5602,21.3573999999992,3988107.13078656,1113292.45024636
"Puma concolor",2008,-87.551,21.3572999999991,3989053.14486078,1113376.97493384
"Puma concolor",2008,-87.551,21.3572999999991,3989053.14486078,1113376.97493384
"Puma concolor",2008,-87.5549,21.3326999999991,3988925.16447664,1110639.33917708
"Puma concolor",2008,-87.5346,21.3777999999991,3990510.06521925,1115794.90924841
"Puma concolor",2008,-87.5337,21.3694999999991,3990694.58636091,1114894.27673352
"Puma concolor",2008,-87.5337,21.3694999999991,3990694.58636091,1114894.27673352
"Puma concolor",2008,-87.551,21.3572999999991,3989053.14486078,1113376.97493384
"Puma concolor",2008,-87.5338,21.3456999999991,3990948.4115726,1112283.85666795
"Puma concolor",2008,-87.5338,21.3456999999991,3990948.4115726,1112283.85666795
"Puma concolor",2008,-87.5338,21.3456999999991,3990948.4115726,1112283.85666795
"Puma concolor",2008,-87.5338,21.3456999999991,3990948.4115726,1112283.85666795
"Puma concolor",2008,-87.5871,21.3485999999992,3985441.56362298,1112048.74594677
"Puma concolor",2004,-108.621,30.5493999999995,1863588.24085809,2067833.62871517
"Puma concolor",2008,-108.625,30.5516999999995,1863215.83282906,2068106.63588272
"Puma concolor",2008,-108.617,30.5530999999995,1863991.40727581,2068226.50918905
"Puma concolor",2008,-108.603,30.5346999999995,1865242.01880354,2066122.49053548
"Puma concolor",2008,-108.759,31.1446999999995,1853451.29716206,2134562.69193699
"Puma concolor",2004,-97.0439,17.8629999999991,3024842.64504042,661710.156622218
"Puma concolor",2004,-97.058,17.8938999999991,3023232.32470898,665074.330368076
"Puma concolor",2004,-97.0548,17.9114999999991,3023503.88273788,667031.444064525
"Puma concolor",2004,-97.0548,17.9114999999991,3023503.88273788,667031.444064525
"Puma concolor",2005,-97.0527,17.8672999999991,3023894.70657916,662153.314923347
"Puma concolor",2007,-96.7695,17.5636999999991,3055095.96620637,629650.897464092
"Puma concolor",2007,-96.7518,17.5963999999991,3056841.18631602,633335.674049423
"Puma concolor",2007,-96.7518,17.5963999999991,3056841.18631602,633335.674049423
"Puma concolor",2007,-96.7518,17.5963999999991,3056841.18631602,633335.674049423
"Puma concolor",2007,-96.7518,17.5963999999991,3056841.18631602,633335.674049423
"Puma concolor",2007,-96.7518,17.5963999999991,3056841.18631602,633335.674049423
"Puma concolor",2007,-96.7444,17.5589999999991,3057777.61342861,629228.5100465
"Puma concolor",2007,-96.7558,17.5644999999991,3056546.01905858,629792.462883531
"Puma concolor",2008,-99.8651,21.4324999999992,2720254.94838069,1048231.18415978
"Puma concolor",2008,-99.8651,21.4324999999992,2720254.94838069,1048231.18415978
"Puma concolor",2008,-99.8756,21.4436999999991,2719153.47562952,1049449.12782312
"Puma concolor",2008,-99.8756,21.4436999999991,2719153.47562952,1049449.12782312
"Puma concolor",2008,-99.8756,21.4436999999991,2719153.47562952,1049449.12782312
"Puma concolor",2008,-99.8756,21.4436999999991,2719153.47562952,1049449.12782312
"Puma concolor",2008,-99.8651,21.4324999999992,2720254.94838069,1048231.18415978
"Puma concolor",2007,-96.7518,17.5963999999991,3056841.18631602,633335.674049423
"Puma concolor",2007,-96.76,17.592599999999,3055986.90252645,632883.644981917
"Puma concolor",2007,-96.7443,17.5668999999991,3057756.1918676,630102.549728551
"Puma concolor",2007,-96.7464,17.5836999999991,3057465.34561774,631952.237282314
"Puma concolor",2008,-96.7444,17.5589999999991,3057777.61342861,629228.5100465
"Puma concolor",2008,-96.7518,17.5963999999991,3056841.18631602,633335.674049423
"Puma concolor",2008,-96.76,17.592599999999,3055986.90252645,632883.644981917
"Puma concolor",2007,-104.239,19.5604999999991,2265783.65723794,842001.565259791
"Puma concolor",2007,-104.324,19.6273999999991,2257012.40391606,849524.760925629
"Puma concolor",2008,-104.277,19.6050999999991,2261887.03968184,846985.399450594
"Puma concolor",2008,-104.282,19.5912999999991,2261339.9880763,845471.017114607
"Puma concolor",2008,-104.282,19.5912999999991,2261339.9880763,845471.017114607
"Puma concolor",2008,-104.282,19.5912999999991,2261339.9880763,845471.017114607
"Puma concolor",2008,-104.259,19.5853999999991,2263734.95834534,844781.921562882
"Puma concolor",2008,-104.161,19.3516999999991,2273595.18966364,818833.516098917
"Puma concolor",2008,-104.161,19.3516999999991,2273595.18966364,818833.516098917
"Puma concolor",2008,-104.161,19.3516999999991,2273595.18966364,818833.516098917
"Puma concolor",2008,-104.161,19.3516999999991,2273595.18966364,818833.516098917
"Puma concolor",2008,-104.161,19.3516999999991,2273595.18966364,818833.516098917
"Puma concolor",2008,-104.161,19.3516999999991,2273595.18966364,818833.516098917
"Puma concolor",2008,-104.161,19.3516999999991,2273595.18966364,818833.516098917
"Puma concolor",2008,-104.161,19.3516999999991,2273595.18966364,818833.516098917
"Puma concolor",2008,-104.161,19.3516999999991,2273595.18966364,818833.516098917
"Puma concolor",2008,-104.161,19.3516999999991,2273595.18966364,818833.516098917
"Puma concolor",2008,-104.161,19.3516999999991,2273595.18966364,818833.516098917
"Puma concolor",2008,-104.161,19.3516999999991,2273595.18966364,818833.516098917
"Puma concolor",2008,-104.161,19.3516999999991,2273595.18966364,818833.516098917
"Puma concolor",2005,-96.6468,17.1468999999991,3069833.56677261,584022.699743345
"Puma concolor",2006,-96.6468,17.1468999999991,3069833.56677261,584022.699743345
"Puma concolor",2008,-100.076,21.4907999999991,2698411.85826993,1054346.90642294
"Puma concolor",2008,-104.259,19.5853999999991,2263734.95834534,844781.921562882
"Puma concolor",2008,-104.277,19.6082999999991,2261892.6459085,847338.484607941
"Puma concolor",2009,-100.096,21.4438999999991,2696418.09357057,1049151.84935183
"Puma concolor",2009,-100.096,21.4438999999991,2696418.09357057,1049151.84935183
"Puma concolor",2009,-100.076,21.4907999999991,2698411.85826993,1054346.90642294
"Puma concolor",2008,-99.8651,21.4324999999992,2720254.94838069,1048231.18415978
"Puma concolor",2008,-104.269,19.5885999999991,2262694.74874492,845151.524631126
"Puma concolor",2008,-104.269,19.5885999999991,2262694.74874492,845151.524631126
"Puma concolor",2008,-104.259,19.5878999999991,2263739.30368256,845057.775805665
"Puma concolor",2008,-104.269,19.5885999999991,2262694.74874492,845151.524631126
"Puma concolor",2008,-104.269,19.5885999999991,2262694.74874492,845151.524631126
"Puma concolor",2008,-104.269,19.5885999999991,2262694.74874492,845151.524631126
"Puma concolor",2008,-104.265,19.5956999999991,2263125.43071835,845928.332887671
"Puma concolor",2008,-104.265,19.5956999999991,2263125.43071835,845928.332887671
"Puma concolor",2008,-104.27,19.6020999999991,2262613.75049687,846642.776844404
"Puma concolor",2008,-104.269,19.5885999999991,2262694.74874492,845151.524631126
"Puma concolor",2008,-104.255,19.6050999999991,2264187.45748372,846949.05028599
"Puma concolor",2008,-104.269,19.5885999999991,2262694.74874492,845151.524631126
"Puma concolor",2008,-104.269,19.5885999999991,2262694.74874492,845151.524631126
"Puma concolor",2008,-104.269,19.5885999999991,2262694.74874492,845151.524631126
"Puma concolor",2009,-104.269,19.5885999999991,2262694.74874492,845151.524631126
"Puma concolor",2008,-104.298,19.5976999999991,2259678.10752212,846203.913420925
"Puma concolor",2009,-104.269,19.5885999999991,2262694.74874492,845151.524631126
"Puma concolor",2009,-104.269,19.5885999999991,2262694.74874492,845151.524631126
"Puma concolor",2009,-104.277,19.6082999999991,2261892.6459085,847338.484607941
"Puma concolor",2009,-104.266,19.5853999999991,2263002.90084974,844793.471017507
"Puma concolor",2009,-104.269,19.5885999999991,2262694.74874492,845151.524631126
"Puma concolor",2009,-104.269,19.5885999999991,2262694.74874492,845151.524631126
"Puma concolor",2009,-104.284,19.5824999999991,2261115.37350158,844503.342716784
"Puma concolor",2009,-104.284,19.5824999999991,2261115.37350158,844503.342716784
"Puma concolor",2004,-105.032,19.5072999999991,2182716.48538176,837655.982070451
"Puma concolor",2008,-104.268,19.5222999999991,2262683.62453906,837833.976789614
"Puma concolor",2008,-104.268,19.5222999999991,2262683.62453906,837833.976789614
"Puma concolor",2008,-104.268,19.5222999999991,2262683.62453906,837833.976789614
"Puma concolor",2008,-104.268,19.5222999999991,2262683.62453906,837833.976789614
"Puma concolor",2008,-104.276,19.5829999999991,2261952.90248249,844545.211946307
"Puma concolor",2009,-105.047,22.4132999999992,2187952.39173354,1157962.51112372
"Puma concolor",2010,-105.218,22.6298999999992,2170978.19062841,1182197.82711361
"Puma concolor",2008,-87.1608,21.2666999999991,4030155.00478189,1107551.9497019
"Puma concolor",2008,-87.1956,21.2295999999991,4027000.64009921,1103114.27024322
